2576;Muscle Relaxants, Central
1986;Anticonvulsants
1986;Carbonic Anhydrase Inhibitors
1986;Diuretics
4614;Anti-Inflammatory Agents, Non-Steroidal
62920;Antihypertensive Agents
62920;Calcium Channel Blockers
62920;Cardiovascular Agents
62920;Vasodilator Agents
47965;Anti-Bacterial Agents
68647;Anti-Anxiety Agents
68647;Antiemetics
68647;Antipruritics
68647;Antipsychotic Agents
68647;Serotonin Antagonists
6099;Enzyme Inhibitors
91513;Antipruritics
91513;Histamine H1 Antagonists
1990;Enzyme Inhibitors
23679527;Anticholesteremic Agents
23679527;Hydroxymethylglutaryl-CoA Reductase Inhibitors
3463;Antilipemic Agents
43231;Anthelmintics
43231;Antiplatyhelmintic Agents
26098;Anti-Inflammatory Agents, Non-Steroidal
26098;Uricosuric Agents
2351;Anti-Arrhythmia Agents
2351;Antihypertensive Agents
2351;Calcium Channel Blockers
2351;Vasodilator Agents
102710;Central Nervous System Stimulants
3374;Anti-Infective Agents
3374;Anti-Infective Agents, Urinary
11224;Histamine H1 Antagonists
71446;Anti-Bacterial Agents
8732;Coccidiostats
5546;Antihypertensive Agents
5546;Diuretics
4100;Carbonic Anhydrase Inhibitors
4100;Diuretics
12492;Diuretics
522325;Anti-Inflammatory Agents, Non-Steroidal
4189;Antifungal Agents
3242;Anti-Inflammatory Agents, Non-Steroidal
24360;Antineoplastic Agents, Phytogenic
24360;Enzyme Inhibitors
66064;Antiemetics
66064;Antipsychotic Agents
66064;Dopamine Antagonists
54900;Bone Density Conservation Agents
54900;Estrogen Antagonists
54900;Selective Estrogen Receptor Modulators
6047;Antiparkinson Agents
6047;Dopamine Agents
3475;Hypoglycemic Agents
4826;Antihypertensive Agents
4826;Membrane Transport Modulators
4826;Vasodilator Agents
68385;Antiemetics
2763;Antilipemic Agents
2763;Peroxisome Proliferators
4201;Antihypertensive Agents
4201;Vasodilator Agents
3371;Anti-Inflammatory Agents
1548887;Anti-Inflammatory Agents, Non-Steroidal
1548887;Antineoplastic Agents
1548887;Cyclooxygenase Inhibitors
19648;Anti-Bacterial Agents
19648;Protein Synthesis Inhibitors
10154;Anti-Inflammatory Agents, Non-Steroidal
10154;Antioxidants
10154;Neuromuscular Depolarizing Agents
221071;Antinematodal Agents
6604200;Anti-Infective Agents, Urinary
1981;Anti-Inflammatory Agents, Non-Steroidal
2733525;Antineoplastic Agents, Hormonal
2733525;Bone Density Conservation Agents
