name	mesh	dc
string	string	d
		class
Chemical 20	['Sulfaphenazole']	no
Chemical 292	['Gibberellins']	no
Chemical 264	['Flucytosine']	no
Chemical 234	['Metyrapone']	no
Chemical 273	['Pralidoxime Compounds']	no
Chemical 151	['Aminophylline']	no
Chemical 179	['Rolitetracycline']	no
Chemical 138	['Loperamide']	no
Chemical 230	['Atropine Derivatives']	no
Chemical 140	['Dichlorphenamide']	no
Chemical 211	['Niacin']	no
Chemical 229	['Androstenes']	no
Chemical 139	['Chlortetracycline']	no
Chemical 22	['Sulfadiazine']	no
Chemical 84	['Diazoxide']	no
Chemical 280	['Nipecotic Acids']	no
Chemical 231	['Hymecromone']	no
Chemical 134	['Tetracycline']	no
Chemical 8	['Amprolium']	no
Chemical 93	['Guanabenz']	no
Chemical 89	['Zimeldine']	no
Chemical 227	['Pipemidic Acid']	no
Chemical 98	['Apomorphine']	no
Chemical 95	['Aspirin']	no
Chemical 58	['Morantel']	no
Chemical 87	['Pindolol']	no
Chemical 10	['Sulfaguanidine']	no
Chemical 91	['Azathioprine']	no
Chemical 90	['Piperidines']	no
Chemical 109	['Ciprofloxacin']	no
Chemical 115	['Triamcinolone']	no
Chemical 113	['Nalbuphine']	no
Chemical 176	['Glucosamine']	no
Chemical 101	['Famotidine']	no
Chemical 107	['Naloxone']	no
Chemical 106	['Acenocoumarol']	no
Chemical 181	['Cephapirin']	no
Chemical 213	['Digoxigenin']	no
Chemical 189	['Indoles', 'Fatty Acids, Monounsaturated']	no
Chemical 108	['Metolazone']	no
Chemical 103	['Lisuride']	no
Chemical 175	['Procyclidine']	no
Chemical 281	['Toluidines']	no
Chemical 240	['Fluoxetine']	no
Chemical 178	['Triiodobenzoic Acids']	no
Chemical 198	['Acetaminophen']	no
Chemical 203	['Theophylline']	no
Chemical 201	['Iopamidol']	no
Chemical 202	['Iohexol']	no
Chemical 199	['Sulfathiazoles']	no
Chemical 191	['gamma-Aminobutyric Acid', 'Cyclohexanecarboxylic Acids', 'Amines']	no
Chemical 188	['Doxazosin']	no
Chemical 150	['Moxalactam']	no
Chemical 149	['Nadolol']	no
Chemical 76	['Piperidines']	no
Chemical 155	['Benzothiadiazines']	no
Chemical 167	['Indoprofen']	no
Chemical 142	['Benzopyrans']	no
Chemical 226	['Leucine']	no
Chemical 147	['Suprofen']	no
Chemical 146	['Phosphoric Acid Esters']	no
