geneID	chromosome	start	stop
string	d	c	c
			
Chromosome 1	1	0	4745119
Chromosome 2	2	0	7632171
Chromosome 3	3	0	6355295
Chromosome 4	4	0	5241729
Chromosome 5	5	0	4950141
Chromosome 6	6	0	3625117
Mitochondrial DNA	M	0	55267
DDB0201671	1	1001	1806
DDB0201672	1	2540	5462
DDB0190131	1	6430	7015
DDB0190132	1	8341	8928
DDB0201673	1	9114	9755
DDB0190134	1	13662	14302
DDB0190135	1	14891	15547
DDB0201674	1	15662	15733
DDB0190136	1	17251	18066
DDB0190137	1	18308	21607
DDB0190138	1	21745	22290
DDB0201675	1	23322	23852
DDB0201676	1	23919	25538
DDB0190140	1	26556	27170
DDB0201677	1	27664	29320
DDB0190142	1	29846	31357
DDB0201678	1	32081	32143
DDB0190143	1	32696	36491
DDB0190144	1	36582	38919
DDB0201679	1	39928	40309
DDB0190145	1	40327	40590
DDB0190146	1	40687	42009
DDB0190147	1	42393	43352
DDB0190148	1	43987	44961
DDB0201680	1	45262	46989
DDB0190150	1	48017	49549
DDB0190151	1	49773	53994
DDB0190152	1	54709	65854
DDB0190153	1	66563	67767
DDB0190154	1	68148	69392
DDB0190155	1	69562	72114
DDB0190156	1	72828	74161
DDB0190157	1	74688	78181
DDB0190158	1	79591	80862
DDB0190159	1	80978	81931
DDB0190160	1	82182	84017
DDB0190161	1	84070	86220
DDB0201681	1	86690	88445
DDB0190163	1	89141	90880
DDB0190164	1	90981	91814
DDB0201682	1	91922	94782
DDB0190166	1	95303	97904
DDB0201683	1	98152	98660
DDB0201684	1	100064	101398
DDB0201685	1	102191	103804
DDB0201686	1	104195	114937
DDB0190170	1	115102	117815
DDB0201687	1	119046	121263
DDB0215269	1	122565	122792
DDB0190171	1	123025	123186
DDB0190172	1	123282	123710
DDB0201688	1	124035	126578
DDB0201689	1	127127	137474
DDB0190175	1	138193	138869
DDB0190176	1	139314	139914
DDB0190177	1	140094	140957
DDB0190178	1	141615	142426
DDB0190179	1	142762	145137
DDB0190180	1	146394	150026
DDB0190181	1	151067	152102
DDB0190182	1	152522	154577
DDB0190183	1	154757	155813
DDB0201690	1	157246	158355
DDB0190185	1	158943	159194
DDB0201691	1	159642	161980
DDB0190187	1	162104	163481
DDB0190188	1	164045	164878
DDB0190189	1	165497	165997
DDB0190190	1	166237	167615
DDB0190191	1	167867	168694
DDB0190192	1	168764	170674
DDB0201692	1	171026	171776
DDB0190194	1	171934	174042
DDB0190195	1	174416	175681
DDB0190196	1	176603	179530
DDB0201693	1	179735	180999
DDB0190198	1	181657	182561
DDB0190199	1	182647	183689
DDB0190200	1	184052	186064
DDB0201694	1	188576	189256
DDB0201695	1	189100	192080
DDB0201696	1	193599	204622
DDB0201697	1	205087	205690
DDB0201698	1	206054	207248
DDB0190205	1	207378	208887
DDB0201699	1	209489	210317
DDB0190208	1	210563	220198
DDB0201700	1	221518	222477
DDB0190209	1	224460	224806
DDB0190210	1	225329	226574
DDB0190211	1	227569	228426
DDB0190212	1	228893	229877
DDB0190213	1	230342	231069
DDB0190214	1	231601	234122
DDB0201701	1	234883	236769
DDB0201702	1	237245	237315
DDB0190216	1	238104	239729
DDB0190217	1	240658	241509
DDB0190218	1	242170	243595
DDB0190219	1	243795	248798
DDB0201703	1	250548	250568
DDB0190220	1	251266	252872
DDB0190221	1	253451	255382
DDB0201704	1	255473	265257
DDB0190223	1	266528	268653
DDB0201705	1	269516	269717
DDB0201706	1	271140	271291
DDB0201707	1	273539	274294
DDB0201708	1	275510	275796
DDB0190225	1	276147	279035
DDB0190226	1	279223	279547
DDB0201709	1	280657	280710
DDB0201710	1	280828	282523
DDB0201711	1	283586	284182
DDB0201712	1	284226	284915
DDB0201713	1	285650	287316
DDB0190229	1	287611	288166
DDB0201714	1	289966	294485
DDB0190231	1	297098	298203
DDB0190232	1	298370	303597
DDB0190233	1	303967	306076
DDB0190234	1	306762	307529
DDB0190235	1	308291	309181
DDB0190236	1	309576	311102
DDB0190237	1	311639	312377
DDB0190238	1	313271	314278
DDB0190239	1	314992	315168
DDB0201715	1	315273	315556
