geneID	chromosome	start	stop
string	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17	continuous	continuous
			
Chromosome 1	1	0	230210
Chromosome 2	2	0	813140
Chromosome 3	3	0	316616
Chromosome 4	4	0	1531914
Chromosome 5	5	0	576869
Chromosome 6	6	0	270148
Chromosome 7	7	0	1090945
Chromosome 8	8	0	562641
Chromosome 9	9	0	439885
Chromosome 10	10	0	745666
Chromosome 11	11	0	666452
Chromosome 12	12	0	1078174
Chromosome 13	13	0	924429
Chromosome 14	14	0	784330
Chromosome 15	15	0	1091287
Chromosome 16	16	0	948060
Mitochondrial	17	0	85779
TFC3	1	151170	147598
VPS8	1	143711	147535
EFB1	1	142178	143164
YAL004W	1	140764	141411
SSA1	1	141435	139507
ERP2	1	138349	137702
FUN14	1	136918	137514
SPO7	1	135858	136637
MDM10	1	135669	134188
YAL011W	1	132204	134081
CYS3	1	130804	131988
DEP1	1	129273	130535
SYN8	1	129022	128255
NTG1	1	128105	126906
YAL016C-A	1	125072	124758
YAL016C-B	1	124495	124310
TPD3	1	124882	126789
PSK1	1	120228	124298
YAL018C	1	119544	118567
FUN30	1	114922	118317
YAL019W-A	1	114253	114822
ATS1	1	114618	113617
CCR4	1	113362	110849
FUN26	1	110433	108880
PMT2	1	108554	106275
LTE1	1	105875	101568
MAK16	1	101148	100228
DRS2	1	99700	95633
YAL026C-A	1	95826	95389
YAL027W	1	94690	95475
YAL028W	1	92903	94489
MYO4	1	92273	87858
SNC1	1	87289	87755
FUN21	1	87034	84752
YAL031W-A	1	84672	84980
PRP45	1	84477	83338
POP5	1	82709	83230
FUN19	1	81954	80713
YAL034C-B	1	79845	79492
MTW1	1	79721	80590
FUN12	1	76430	79438
FUN11	1	76155	75046
YAL037C-A	1	73521	73429
YAL037C-B	1	73303	72329
YAL037W	1	74023	74826
CDC19	1	71789	73291
CYC3	1	69528	68719
CLN3	1	67523	65781
CDC24	1	62843	65407
YAL042C-A	1	61611	61234
ERV46	1	61319	62566
PTA1	1	61055	58698
GCV3	1	58465	57953
YAL044W-A	1	57521	57853
YAL045C	1	57799	57491
YAL046C	1	57388	57032
SPC72	1	56860	54992
YAL047W-A	1	54587	54916
YAL048C	1	54792	52804
YAL049C	1	52598	51858
OAF1	1	48565	51753
YAL053W	1	45900	48251
ACS1	1	45023	42882
PEX22	1	42178	42720
YAL056C-A	1	39047	38697
GPB2	1	39260	41902
CNE1	1	37465	38973
YAL059C-A	1	36919	36497
ECM1	1	36510	37148
BDH1	1	35156	36304
YAL061W	1	33449	34702
GDH3	1	31568	32941
FLO9	1	27969	24001
YAL063C-A	1	22687	22397
YAL064C-A	1	13744	13364
YAL064W	1	21526	21852
YAL064W-B	1	12047	12427
YAL065C	1	11952	11566
YAL066W	1	10092	10400
SEO1	1	9017	7236
YAL067W-A	1	2480	2707
YAL068C	1	2169	1807
YAL068W-A	1	538	792
YAL069W	1	335	649
YALCdelta2	1	138996	138835
YALWdelta1	1	22232	22554
ERP1	1	154728	154069
NUP60	1	152261	153880
SWD1	1	155009	156289
RFA1	1	158623	156758
SEN34	1	158969	159796
YAR009C	1	164190	160600
YAR010C	1	165869	164547
BUD14	1	168868	166745
ADE1	1	169372	170292
KIN3	1	171700	170393
CDC15	1	175135	172211
YAR019W-A	1	174998	175342
PAU7	1	177023	176856
YAR023C	1	179820	179281
UIP3	1	183766	184473
YAR028W	1	184888	185592
YAR029W	1	186317	186541
YAR030C	1	186849	186508
PRM9	1	186832	187728
MST28	1	188103	188807
YAR035C-A	1	192413	192333
YAT1	1	190189	192252
SWH1	1	192615	196181
YAR047C	1	201782	201462
FLO1	1	203396	208009
YAR053W	1	208360	208656
YAR060C	1	217485	217150
YAR061W	1	218133	218336
YAR062W	1	218542	219138
YAR064W	1	220191	220490
YAR066W	1	221042	221653
YAR068W	1	222399	222884
YAR069C	1	224297	224004
YAR070C	1	224855	224556
PHO11	1	225453	226856
IMD1	1	227735	228946
YAR075W	1	228837	229310
YARCTy1-1	1	166165	160241
YARCdelta3	1	160240	160108
YARCdelta4	1	160577	160241
YARCdelta5	1	166165	165829
YARCdelta8	1	209771	209441
YARWdelta6	1	183138	183470
YARWdelta7	1	189422	189753
YARWsigma1	1	182616	182955
ECM15	2	237431	237117
HTB2	2	236457	236852
HTA2	2	235757	235359
UTP20	2	227601	235082
PDR3	2	217435	220365
YBL005W-A	2	221295	222617
YBL005W-B	2	221295	226563
LDB7	2	217094	216552
YBL006W-A	2	216676	216825
SLA1	2	216331	212597
HIR1	2	209618	212140
YBL008W-A	2	209374	209613
YBL009W	2	207159	209189
YBL010C	2	206914	206072
SCT1	2	203503	205782
YBL012C	2	203772	203371
FMT1	2	202021	203226
RRN6	2	201713	199029
ACH1	2	194087	195667
FUS3	2	192416	193477
PEP1	2	191548	186809
POP8	2	186439	185963
APN2	2	184318	185880
RFT1	2	182366	184090
HAP3	2	182059	181625
PIM1	2	181240	177839
MCM2	2	177491	174885
NCL1	2	172499	174553
RRN10	2	171446	171883
LSM2	2	170588	171003
RPL19B	2	168388	169341
YBL028C	2	167803	167483
YBL029C-A	2	164737	164453
YBL029W	2	166099	167229
PET9	2	163962	163006
SHE1	2	161664	162680
HEK2	2	160149	161294
RIB1	2	159658	158621
STU1	2	158354	153813
POL12	2	153575	151458
YBL036C	2	151185	150412
APL3	2	147174	150251
MRPL16	2	146152	146850
URA7	2	145693	143954
YBL039C-A	2	144996	144913
YBL039W-A	2	143358	143537
ERD2	2	142833	142077
PRE7	2	141212	141937
FUI1	2	140225	138306
ECM13	2	136653	137426
YBL044W	2	135963	136331
COR1	2	135481	134108
YBL046W	2	132389	133714
EDE1	2	132005	127860
YBL048W	2	127264	127575
MOH1	2	126793	127209
SEC17	2	125090	126084
PIN4	2	124724	122718
SAS3	2	121839	119344
YBL053W	2	119300	119674
YBL054W	2	117554	119131
YBL055C	2	116794	115538
PTC3	2	113727	115133
PTH2	2	113409	112765
SHP1	2	111401	112672
YBL059C-A	2	110503	110089
YBL059W	2	110558	111208
YBL060W	2	107896	109959
SKT5	2	107370	105280
YBL062W	2	105272	105652
KIP1	2	101850	105185
PRX1	2	101120	100335
YBL065W	2	99927	100271
SEF1	2	100079	96906
UBP13	2	95883	93817
PRS4	2	92412	93395
YBL068W-A	2	91792	92028
AST1	2	90739	92028
YBL070C	2	90923	90603
YBL071C	2	90529	90221
YBL071C-B	2	89554	89456
KTI11	2	89976	90224
RPS8A	2	89123	88521
YBL073W	2	87644	87955
AAR2	2	87787	86720
SSA3	2	86446	84497
ILS1	2	84259	81041
